Timestamp: 2014-05-02 000643
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
15,-0.4756,47,-0.5452,-0.6109,4,-0.5629,-0.6493,13,-0.5368,19
30,-0.5831,49,-0.5689,-0.9685,1,-0.3013,-0.5627,17,-0.5455,36
44,-0.5269,47,-1.0000,-1.0000,6,-0.8438,-0.8486,2,-0.5736,50
45,-0.5306,39,-0.5048,-0.9092,2,-0.5428,-0.6792,24,-0.5052,48
17,-0.5056,39,-0.5929,-0.8914,2,-0.6414,-0.6855,21,-0.6047,48
47,-0.5256,37,-0.6520,-0.6520,1,-0.3125,-0.7055,14,-0.4400,8
40,-0.5700,7,-0.7589,-0.7783,2,-0.6665,-0.7187,5,-0.6455,58
13,-0.5219,49,-0.5548,-0.9173,1,-0.7846,-0.9256,10,-0.5315,50
8,-0.5319,49,-0.9847,-0.9850,30,-0.0625,-0.4334,27,-0.4871,0
4,-0.5531,48,-0.5508,-0.7338,1,-0.4558,-0.5803,19,-0.4784,2
36,-0.5306,37,-1.0000,-1.0000,35,-1.0000,-1.0000,1,-0.5306,50
29,-0.5387,49,-0.9987,-0.9993,35,-0.9640,-0.9653,4,-0.5398,50
24,-0.5431,48,-1.0000,-1.0000,21,-0.1071,-0.4212,28,-0.5052,16
48,-0.5250,32,-1.0000,-1.0000,24,-1.0000,-1.0000,1,-0.5250,48
41,-0.5244,47,-1.0000,-1.0000,41,-0.0625,-0.6517,22,-0.5335,30
1,-0.5437,37,-0.5152,-0.8877,1,-0.6983,-0.7753,9,-0.5603,44
36,-0.5306,47,-1.0000,-1.0000,35,-1.0000,-1.0000,1,-0.5306,50
43,-0.5594,48,-0.5495,-0.7750,3,-0.4317,-0.5433,20,-0.5671,29
34,-0.5381,48,-1.0000,-1.0000,23,-1.0000,-1.0000,1,-0.5381,50
23,-0.5806,37,-0.5878,-0.7833,2,-0.6689,-0.7358,28,-0.5312,45
38,-0.5231,6,-0.4167,-0.7196,0,-0.6627,-0.7291,12,-0.6164,49
45,-0.5106,47,-0.5133,-0.5715,2,-0.5295,-0.7057,19,-0.5778,40
3,-0.5175,38,-0.5000,-0.8060,2,-0.8447,-0.8598,12,-0.5182,44
17,-0.5269,49,-0.5319,-0.9366,2,-0.6146,-0.6629,14,-0.5612,49
13,-0.5706,38,-0.5049,-0.7810,1,-0.7278,-0.7668,16,-0.5292,47
13,-0.5381,47,-0.5625,-0.6034,1,-0.5614,-0.7374,12,-0.5462,46
49,-0.5600,49,-0.4821,-0.8599,2,-0.6849,-0.7677,8,-0.5833,46
34,-0.5244,40,-1.0000,-1.0000,23,-0.0625,-0.7517,13,-0.5291,44
4,-0.5581,38,-0.5477,-0.9548,1,-0.1901,-0.4037,27,-0.5147,18
5,-0.5669,47,-0.5519,-0.6100,1,-0.6970,-0.9154,23,-0.5615,47
19,-0.5125,49,-0.4796,-0.8563,4,-0.3882,-0.5560,17,-0.5903,44
17,-0.5256,47,-0.5319,-0.5790,2,-0.4535,-0.6160,22,-0.5960,46
27,-0.5744,49,-0.5599,-0.9208,3,-0.5704,-0.6419,12,-0.6052,45
1,-0.5537,47,-0.5891,-0.6136,1,-0.7712,-0.8179,7,-0.5284,20
8,-0.5319,49,-0.9847,-0.9859,30,-0.0625,-0.4719,26,-0.5244,9
0,-0.5681,47,-0.5745,-0.5956,2,-0.7318,-0.8306,7,-0.5566,27
2,-0.5437,49,-0.5026,-0.9309,1,-0.4274,-0.6926,19,-0.5722,49
15,-0.5656,48,-0.5846,-0.8268,4,-0.5516,-0.5982,24,-0.5814,27
13,-0.5344,47,-0.5479,-0.5861,1,-0.2032,-0.6773,23,-0.5019,43
8,-0.5319,37,-0.9797,-0.9797,30,-0.0625,-0.5015,25,-0.5394,6
48,-0.5375,49,-0.9936,-0.9936,24,-0.0625,-0.4508,26,-0.4904,1
6,-0.6000,39,-0.5962,-0.9600,1,-0.2148,-0.6170,27,-0.5155,20
31,-0.5425,49,-0.5153,-0.9146,1,-0.1207,-0.5962,26,-0.5416,16
12,-0.5550,48,-0.5482,-0.8678,0,-0.5995,-0.6621,9,-0.5368,49
5,-0.5119,34,-0.5515,-0.6286,1,-0.2918,-0.7050,21,-0.5430,43
7,-0.5856,47,-0.6011,-0.6222,2,-0.8416,-0.8922,6,-0.5749,31
47,-0.5256,37,-0.6520,-0.6577,1,-0.3398,-0.7045,13,-0.5058,24
13,-0.5319,7,-0.7679,-0.8300,1,-0.2947,-0.7184,22,-0.5440,34
21,-0.5225,47,-0.5545,-0.6046,0,-0.5950,-0.6336,11,-0.5720,14
25,-0.5400,47,-0.5492,-0.6169,2,-0.5386,-0.7446,18,-0.5166,39
12,-0.5600,48,-0.5612,-0.9413,0,-0.4845,-0.5970,16,-0.5640,38
1,-0.5737,49,-0.5561,-0.8917,1,-0.5779,-0.7144,12,-0.5752,30
7,-0.5819,41,-0.5838,-0.6629,2,-0.5504,-0.6390,14,-0.4939,13
33,-0.5537,47,-0.5957,-0.6245,1,-0.5225,-0.7827,13,-0.5396,49
19,-0.5600,32,-0.5117,-0.9171,4,-0.4218,-0.5320,26,-0.5512,36
22,-0.5188,47,-0.5545,-0.5938,1,-0.4684,-0.7185,15,-0.5057,44
14,-0.4694,42,-0.4836,-0.9126,0,-0.7690,-0.7979,9,-0.5417,47
2,-0.5437,48,-0.5117,-0.9246,1,-0.6975,-0.7703,16,-0.5177,35
41,-0.5244,47,-1.0000,-1.0000,41,-0.0625,-0.6105,27,-0.5389,15
36,-0.5319,49,-0.9834,-0.9901,35,-0.0625,-0.4929,28,-0.5669,21
22,-0.5537,47,-0.5359,-0.5952,1,-0.8244,-0.8546,12,-0.5131,30
36,-0.5306,47,-1.0000,-1.0000,35,-1.0000,-1.0000,1,-0.5306,50
4,-0.5644,47,-0.5545,-0.5854,1,-0.7089,-0.7468,14,-0.5332,18
7,-0.4856,48,-0.4909,-0.8794,2,-0.3530,-0.4780,22,-0.4751,10
45,-0.5556,43,-0.5828,-0.8598,2,-0.5798,-0.8046,15,-0.5508,41
7,-0.4969,37,-0.4983,-0.8962,2,-0.2249,-0.4559,33,-0.5190,9
47,-0.5119,47,-0.5532,-0.5944,1,-0.4309,-0.7035,22,-0.6150,36
6,-0.4675,49,-0.5242,-0.9377,1,-0.3697,-0.7131,26,-0.5745,22
42,-0.5206,6,-0.5938,-0.7900,8,-0.6016,-0.6521,13,-0.5991,48
34,-0.5381,6,-0.6875,-0.7884,23,-0.8062,-0.8773,10,-0.5660,50
9,-0.6019,48,-0.5820,-0.9529,4,-0.5762,-0.6708,19,-0.5286,49
20,-0.5631,49,-0.5740,-0.8947,3,-0.8259,-0.8432,8,-0.5541,48
32,-0.5350,48,-0.5677,-0.5936,1,-0.4663,-0.9227,14,-0.6197,49
2,-0.5312,47,-0.5652,-0.5933,1,-0.4082,-0.5879,28,-0.5575,29
19,-0.5600,49,-0.5255,-0.8614,4,-0.4651,-0.5549,19,-0.5586,33
6,-0.6000,37,-0.6537,-0.6537,1,-0.4375,-0.7117,10,-0.5351,15
10,-0.5425,32,-0.5664,-0.5819,1,-0.8358,-0.9339,10,-0.5336,46
1,-0.5687,49,-0.5536,-0.8707,1,-0.2890,-0.4820,28,-0.4987,4
5,-0.4806,49,-0.4758,-0.8586,1,-0.7092,-0.7522,13,-0.5223,48
26,-0.5669,39,-0.6587,-0.9678,3,-0.8459,-0.8589,8,-0.5531,48
46,-0.5444,48,-0.4974,-0.8308,1,-0.6920,-0.9043,19,-0.5695,48
12,-0.5075,47,-0.5133,-0.5772,0,-0.4668,-0.6284,18,-0.5825,33
7,-0.4819,47,-0.4641,-0.5551,2,-0.5974,-0.6357,19,-0.5167,9
47,-0.5006,48,-0.4648,-0.8558,1,-0.3671,-0.6252,29,-0.5678,41
14,-0.4694,47,-0.4654,-0.5467,0,-0.4881,-0.7298,18,-0.5917,42
45,-0.5269,47,-0.5572,-0.6032,2,-0.6418,-0.7733,14,-0.6076,44
49,-0.5225,39,-0.4359,-0.5890,2,-0.5014,-0.6049,13,-0.6306,43
2,-0.4963,34,-0.5221,-0.5764,1,-0.3900,-0.5768,18,-0.5567,14
15,-0.5869,47,-0.5173,-0.5704,4,-0.6837,-0.7342,10,-0.5546,19
2,-0.5337,39,-0.5833,-0.9703,1,-0.4411,-0.7962,16,-0.4760,8
46,-0.5331,37,-0.4730,-0.8517,1,-0.7766,-0.9474,18,-0.5820,47
23,-0.5844,48,-0.5664,-0.7701,2,-0.5927,-0.7731,13,-0.4494,17
12,-0.5725,47,-0.5731,-0.6180,0,-0.5381,-0.6201,30,-0.5622,6
19,-0.5425,48,-0.5885,-0.8112,4,-0.4786,-0.6042,14,-0.5537,44
2,-0.5637,39,-0.5689,-0.9351,1,-0.7956,-0.8802,12,-0.6477,49
28,-0.5519,47,-0.5266,-0.6004,1,-0.6484,-0.7292,10,-0.5635,27
33,-0.5088,47,-0.4668,-0.5832,1,-0.3379,-0.6681,28,-0.5311,45
49,-0.5525,47,-0.6157,-0.6239,2,-0.5051,-0.6807,7,-0.5763,33
44,-0.5356,49,-0.9821,-0.9877,6,-0.2188,-0.4891,24,-0.5223,7
8,-0.5319,32,-0.9785,-0.9842,30,-0.0625,-0.5098,29,-0.5706,24
36,-0.5306,47,-1.0000,-1.0000,35,-1.0000,-1.0000,1,-0.5306,50
49,-0.5500,7,-0.6696,-0.7531,2,-0.3726,-0.6341,9,-0.5152,13
47,-0.5406,43,-0.5741,-0.8653,1,-0.4651,-0.6663,30,-0.5788,31
47,-0.5619,48,-0.5977,-0.9768,1,-0.7708,-0.9026,13,-0.5811,48
25,-0.5325,47,-0.5505,-0.6055,2,-0.5487,-0.7994,11,-0.5824,45
17,-0.5269,49,-0.5319,-0.9222,2,-0.6002,-0.6453,14,-0.5549,49
44,-0.5269,47,-1.0000,-1.0000,6,-0.8438,-0.8670,2,-0.5602,48
39,-0.5212,49,-0.5153,-0.9670,1,-0.1069,-0.5102,30,-0.5328,9
45,-0.5269,48,-0.4909,-0.7656,2,-0.7103,-0.7479,24,-0.6358,48
17,-0.5269,47,-0.5226,-0.5944,2,-0.7088,-0.7533,5,-0.5605,33
23,-0.5819,40,-0.5719,-0.6120,2,-0.6095,-0.7651,12,-0.5181,9
41,-0.5244,47,-1.0000,-1.0000,41,-0.0625,-0.6911,20,-0.5389,38
36,-0.5319,49,-0.9834,-0.9959,35,-0.0625,-0.4385,32,-0.5374,14
39,-0.5487,47,-0.5199,-0.5821,1,-0.7660,-0.7811,13,-0.5488,17
10,-0.5375,40,-0.5484,-0.5888,1,-0.4575,-0.8302,11,-0.5081,49
8,-0.5306,47,-1.0000,-1.0000,30,-1.0000,-1.0000,1,-0.5306,50
46,-0.5331,48,-0.4922,-0.9185,1,-0.7193,-0.8454,16,-0.5539,49
27,-0.5319,32,-0.5117,-0.5854,3,-0.7110,-0.7615,12,-0.6078,40
43,-0.5431,37,-0.5541,-0.8139,3,-0.3997,-0.6321,14,-0.6182,46
21,-0.5275,47,-0.5585,-0.6015,0,-0.5277,-0.6228,17,-0.5511,8
41,-0.5381,43,-0.9898,-0.9908,41,-1.0000,-1.0000,3,-0.5356,48
44,-0.5356,48,-1.0000,-1.0000,6,-0.2188,-0.4487,24,-0.5274,19
21,-0.5275,47,-0.5585,-0.5887,0,-0.5660,-0.6386,13,-0.6401,47
17,-0.5569,48,-0.5104,-0.8439,2,-0.3001,-0.5824,15,-0.5574,46
13,-0.5681,41,-0.6098,-0.6194,1,-0.1325,-0.7094,12,-0.5445,45
42,-0.5419,48,-1.0000,-1.0000,8,-0.8359,-0.8359,1,-0.5419,49
32,-0.4950,47,-0.5186,-0.5743,1,-0.2447,-0.5962,25,-0.5122,24
22,-0.5437,48,-0.5924,-0.9310,1,-0.9103,-0.9400,10,-0.6052,50
21,-0.5475,49,-0.5574,-0.6756,0,-0.4941,-0.6466,20,-0.6371,48
13,-0.5219,38,-0.5428,-0.7392,1,-0.6566,-0.8789,9,-0.5161,49
12,-0.5900,49,-0.5829,-0.9610,0,-0.4674,-0.5958,17,-0.5941,49
30,-0.5494,48,-0.5260,-0.8425,1,-0.3126,-0.5773,31,-0.5744,13
44,-0.5269,47,-1.0000,-1.0000,6,-0.8438,-0.8438,1,-0.5269,50
0,-0.5681,47,-0.5585,-0.5958,2,-0.6439,-0.7133,20,-0.5634,41
43,-0.4919,47,-0.4654,-0.5668,3,-0.6060,-0.6178,7,-0.5481,27
49,-0.5300,47,-0.4694,-0.5517,2,-0.6732,-0.7553,13,-0.5340,12
9,-0.5706,34,-0.5588,-0.6110,4,-0.5709,-0.6664,14,-0.5878,45
30,-0.5119,49,-0.5510,-0.7936,1,-0.3738,-0.6484,16,-0.5338,8
38,-0.5281,47,-0.5133,-0.5462,0,-0.5604,-0.6093,19,-0.5278,9
48,-0.5375,49,-0.9936,-0.9936,24,-0.0625,-0.4551,34,-0.5560,27
10,-0.5775,48,-0.6055,-0.9490,1,-0.8270,-0.8912,11,-0.5505,49
38,-0.5331,37,-0.5490,-0.8295,0,-0.6504,-0.7415,11,-0.6323,52
25,-0.5275,47,-0.5253,-0.6809,2,-0.5166,-0.8442,12,-0.5286,47
21,-0.5275,47,-0.5585,-0.6059,0,-0.6132,-0.6728,6,-0.5365,22
25,-0.5150,47,-0.4840,-0.5639,2,-0.4963,-0.7230,17,-0.5419,32
23,-0.5781,47,-0.5505,-0.5667,2,-0.7402,-0.7796,13,-0.5229,10
31,-0.5400,48,-0.5521,-0.8435,1,-0.1170,-0.5785,25,-0.5189,5
47,-0.5506,2,-0.7500,-0.7537,1,-0.6689,-0.7792,8,-0.4616,14
49,-0.5500,37,-0.7145,-0.7145,2,-0.4375,-0.6102,22,-0.5519,12
42,-0.5419,32,-1.0000,-1.0000,8,-0.8359,-0.8359,1,-0.5419,49
19,-0.5100,47,-0.4668,-0.5604,4,-0.4616,-0.5624,26,-0.5505,8
49,-0.5100,47,-0.4468,-0.5311,2,-0.5504,-0.6892,12,-0.5446,23
25,-0.5250,49,-0.5612,-0.8213,2,-0.7751,-0.8506,11,-0.5376,46
9,-0.6019,48,-0.5820,-0.7335,4,-0.5646,-0.6381,14,-0.5077,19
36,-0.5319,49,-0.9834,-0.9834,35,-0.0625,-0.4753,26,-0.5149,5
48,-0.5375,48,-1.0000,-1.0000,24,-0.0625,-0.4605,20,-0.5150,7
15,-0.5806,47,-0.5638,-0.5768,4,-0.6411,-0.7234,6,-0.5531,21
23,-0.4806,47,-0.5160,-0.5668,2,-0.4848,-0.7027,26,-0.5357,15
7,-0.5969,47,-0.6290,-0.6290,2,-0.6250,-0.8728,5,-0.5512,30
19,-0.5525,37,-0.6081,-0.6341,4,-0.5893,-0.6373,10,-0.5997,43
10,-0.5250,49,-0.5510,-0.8683,1,-0.8845,-0.9335,8,-0.5800,47
23,-0.4806,47,-0.4681,-0.5674,2,-0.5005,-0.6505,22,-0.5043,35
23,-0.5844,41,-0.5610,-0.5831,2,-0.5350,-0.6846,17,-0.5290,28
9,-0.4869,47,-0.5027,-0.5732,4,-0.5390,-0.6586,21,-0.5421,23
15,-0.5819,48,-0.6133,-0.9584,4,-0.5102,-0.6146,12,-0.5430,44
41,-0.5244,47,-1.0000,-1.0000,41,-0.0625,-0.5171,21,-0.4629,1
45,-0.5706,48,-0.5872,-0.8456,2,-0.4893,-0.6269,19,-0.5330,18
39,-0.5413,49,-0.5867,-0.9061,1,-0.4955,-0.7513,13,-0.5729,32
15,-0.4769,49,-0.4196,-0.7369,4,-0.3687,-0.5503,15,-0.4850,26
15,-0.5719,48,-0.6237,-0.9604,4,-0.5662,-0.6276,9,-0.5285,43
33,-0.5537,49,-0.5753,-0.8544,1,-0.9238,-0.9367,7,-0.6195,51
2,-0.5312,48,-0.5508,-0.7331,1,-0.5894,-0.7876,10,-0.4629,29
30,-0.5594,49,-0.5536,-0.7431,1,-0.2946,-0.5746,23,-0.5335,8
19,-0.5025,38,-0.5839,-0.8871,4,-0.3166,-0.5639,20,-0.5575,20
44,-0.5269,34,-1.0000,-1.0000,6,-0.8438,-0.8733,2,-0.5768,49
48,-0.5250,4,-0.2969,-0.6808,24,-0.6269,-0.6299,13,-0.5680,24
28,-0.5319,47,-0.5133,-0.5644,1,-0.4419,-0.6758,20,-0.4975,7
19,-0.5500,49,-0.5969,-0.8772,4,-0.3501,-0.4951,24,-0.5083,9
45,-0.5319,47,-0.5120,-0.5574,2,-0.4811,-0.6542,13,-0.5093,14
2,-0.4988,47,-0.5053,-0.5570,1,-0.2982,-0.5622,21,-0.5048,2
9,-0.5956,37,-0.5422,-0.6955,4,-0.6383,-0.6921,12,-0.5298,10
12,-0.5075,49,-0.5153,-0.7674,0,-0.7374,-0.8180,8,-0.4739,42
0,-0.4781,48,-0.4323,-0.7302,2,-0.5407,-0.6382,16,-0.4596,21
16,-0.5587,47,-0.5718,-0.5909,2,-0.6732,-0.7394,6,-0.5476,25
45,-0.5156,38,-0.4622,-0.8623,2,-0.4794,-0.5901,13,-0.4567,18
36,-0.5306,34,-1.0000,-1.0000,35,-1.0000,-1.0000,1,-0.5306,50
31,-0.5275,47,-0.5199,-0.5704,1,-0.7540,-0.8013,6,-0.5503,28
10,-0.5825,48,-0.6081,-0.8479,1,-0.7136,-0.9357,9,-0.4549,40
16,-0.5288,49,-0.4872,-0.6604,2,-0.4137,-0.5152,21,-0.5260,5
8,-0.5306,47,-1.0000,-1.0000,30,-1.0000,-1.0000,1,-0.5306,50
15,-0.5819,39,-0.5272,-0.6569,4,-0.5194,-0.6193,17,-0.5455,12
23,-0.5781,47,-0.5505,-0.6702,2,-0.5015,-0.7968,10,-0.5385,14
12,-0.5900,49,-0.5829,-0.8172,0,-0.6695,-0.7014,4,-0.5242,46
25,-0.5150,48,-0.5469,-0.7653,2,-0.5420,-0.6775,15,-0.5245,16
15,-0.5719,37,-0.6689,-0.8764,4,-0.4947,-0.5566,9,-0.4737,27
45,-0.4956,34,-0.5092,-0.5790,2,-0.3484,-0.7199,15,-0.5307,7
15,-0.4906,47,-0.5532,-0.5687,4,-0.4459,-0.5784,14,-0.5356,13
25,-0.5150,47,-0.4840,-0.6546,2,-0.4452,-0.5304,23,-0.5356,11
30,-0.5731,32,-0.6621,-0.6621,1,-0.6250,-0.8451,6,-0.5332,25
0,-0.5806,32,-0.5898,-0.8569,2,-0.8409,-0.8809,5,-0.4847,38
Laws passed: 4
Total provisions: 24
Satisfaction with legislation: 0.5786
