Timestamp: 2014-05-02 165210
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
18,-0.5856,7,-0.4554,-0.6739,5,-0.5583,-0.6573,15,-0.6157,56
36,-0.5269,13,-0.6490,-0.6610,5,-0.6268,-0.7124,12,-0.5643,32
5,-0.5025,7,-0.5179,-0.7145,3,-0.5981,-0.6979,16,-0.5381,30
22,-0.4706,14,-0.5491,-0.6446,4,-0.4964,-0.6565,14,-0.5545,28
3,-0.5444,11,-0.5568,-0.6873,2,-0.7135,-0.7135,3,-0.5510,34
2,-0.5194,19,-0.7138,-0.7237,5,-0.5625,-0.6442,10,-0.5451,30
12,-0.5131,7,-0.5804,-0.6664,3,-0.5775,-0.7190,16,-0.5295,29
34,-0.5613,11,-0.4659,-0.6423,2,-0.6958,-0.7423,14,-0.5562,32
16,-0.4731,9,-0.6597,-0.7678,12,-0.7813,-0.8122,3,-0.5350,43
21,-0.5844,8,-0.5312,-0.6954,3,-0.4904,-0.6048,16,-0.5358,29
0,-0.5406,8,-0.6562,-0.6562,7,-0.5804,-0.6898,4,-0.5743,45
47,-0.5581,10,-0.5875,-0.7361,3,-0.4734,-0.5991,12,-0.5469,31
22,-0.5619,10,-0.5563,-0.7153,4,-0.6112,-0.6876,12,-0.5522,33
9,-0.5150,10,-0.5750,-0.6794,7,-0.6520,-0.6603,7,-0.5518,30
6,-0.5019,9,-0.5000,-0.6964,21,-0.4888,-0.5434,18,-0.5356,21
1,-0.4881,11,-0.5682,-0.7883,3,-0.5895,-0.6638,12,-0.5609,37
5,-0.5600,14,-0.5312,-0.6750,3,-0.4301,-0.6533,25,-0.5229,13
5,-0.5200,13,-0.5000,-0.6923,3,-0.4583,-0.6624,11,-0.5739,41
12,-0.5494,10,-0.7500,-0.7500,3,-0.5208,-0.7217,13,-0.5312,31
37,-0.4981,14,-0.5446,-0.6676,4,-0.6617,-0.6908,6,-0.5291,31
30,-0.5537,10,-0.6000,-0.7018,6,-0.6152,-0.6487,12,-0.5523,37
47,-0.5581,8,-0.6641,-0.7127,3,-0.5040,-0.6278,14,-0.5337,21
30,-0.5537,10,-0.6000,-0.6370,6,-0.5607,-0.6555,12,-0.5398,26
43,-0.5425,8,-0.4844,-0.6379,5,-0.5324,-0.6327,17,-0.5454,22
10,-0.5106,8,-0.5469,-0.6871,23,-0.5660,-0.6199,18,-0.5795,40
14,-0.5075,11,-0.5284,-0.6210,5,-0.4838,-0.5777,13,-0.5526,32
5,-0.4825,7,-0.6161,-0.6933,3,-0.4668,-0.6163,17,-0.5489,23
23,-0.5387,13,-0.4519,-0.6483,5,-0.6619,-0.6929,9,-0.5962,45
26,-0.4838,15,-0.4250,-0.6632,7,-0.5591,-0.5932,26,-0.5825,38
37,-0.5444,17,-0.5919,-0.6226,4,-0.6259,-0.7125,15,-0.5474,23
14,-0.5225,9,-0.7153,-0.7158,5,-0.7654,-0.7654,3,-0.5146,30
27,-0.4881,10,-0.4750,-0.6062,3,-0.5135,-0.5973,19,-0.5342,17
16,-0.4994,9,-0.7153,-0.7653,12,-0.5652,-0.6744,17,-0.5717,39
5,-0.5300,9,-0.5000,-0.6389,3,-0.5355,-0.6752,13,-0.5400,30
29,-0.4763,9,-0.6667,-0.7085,4,-0.3439,-0.5613,16,-0.5684,31
24,-0.4981,9,-0.5764,-0.6262,2,-0.4524,-0.6917,21,-0.5399,20
37,-0.4931,8,-0.6641,-0.6948,4,-0.4456,-0.6353,20,-0.5399,24
12,-0.5494,14,-0.7589,-0.7589,3,-0.5208,-0.6564,4,-0.5304,42
24,-0.4981,7,-0.5804,-0.7196,2,-0.4451,-0.6032,21,-0.5097,12
43,-0.5425,11,-0.5398,-0.6491,5,-0.4510,-0.5710,21,-0.5404,25
26,-0.5288,8,-0.6250,-0.6620,7,-0.4284,-0.5192,20,-0.5447,32
44,-0.5212,10,-0.5312,-0.6507,6,-0.5213,-0.6335,15,-0.5459,23
11,-0.5212,10,-0.8000,-0.8000,6,-0.5417,-0.6593,3,-0.5415,29
14,-0.5225,9,-0.7153,-0.7459,5,-0.7457,-0.7771,3,-0.5224,39
36,-0.5369,19,-0.5526,-0.6804,5,-0.6706,-0.7133,8,-0.6047,50
37,-0.5044,13,-0.3798,-0.7047,4,-0.3566,-0.5875,26,-0.5642,27
10,-0.5406,14,-0.7054,-0.7152,23,-0.2541,-0.4973,23,-0.5258,12
16,-0.5894,10,-0.8187,-0.8226,12,-0.1247,-0.4827,17,-0.5296,24
25,-0.5587,8,-0.7500,-0.7883,7,-0.5365,-0.5925,11,-0.5583,33
44,-0.5363,7,-0.6786,-0.7268,6,-0.5096,-0.5955,16,-0.5295,17
36,-0.5256,29,-0.5431,-0.5823,5,-0.5116,-0.6305,18,-0.5577,28
12,-0.5131,6,-0.9062,-0.9062,3,-0.5417,-0.6312,8,-0.5122,23
12,-0.5494,14,-0.6071,-0.6454,3,-0.4278,-0.5588,26,-0.5199,14
6,-0.5494,9,-0.4444,-0.6596,21,-0.7242,-0.7538,7,-0.6188,50
44,-0.5563,9,-0.6944,-0.7179,6,-0.4747,-0.6092,20,-0.5408,23
44,-0.5212,7,-0.4821,-0.6442,6,-0.5190,-0.6193,14,-0.5575,31
33,-0.5606,7,-0.6339,-0.7567,5,-0.5241,-0.6180,16,-0.5543,28
19,-0.5244,15,-0.6750,-0.6999,4,-0.4715,-0.6783,15,-0.5282,21
10,-0.5406,6,-0.6979,-0.7584,23,-0.3411,-0.5883,29,-0.5349,17
2,-0.5456,9,-0.5556,-0.6569,5,-0.4525,-0.6232,19,-0.5314,18
38,-0.4844,20,-0.5437,-0.6455,3,-0.4157,-0.5842,15,-0.5209,24
44,-0.5062,8,-0.6797,-0.6797,6,-0.5417,-0.6327,13,-0.5437,33
25,-0.5487,17,-0.4706,-0.6687,7,-0.5713,-0.6502,17,-0.5624,32
9,-0.5150,11,-0.5625,-0.6784,7,-0.6280,-0.6543,6,-0.5651,38
