Experiment GCC Main Experiment - National Priorities -
Main experiment version 2 - with state priorities - 30 realizations per configuration .
Experiment started 2014-05-04 154654

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
Experiment Parameter Variations:
                 setUnaffiliatedFraction :,  	[0.05, 0.5]
                        setGreenFraction :,  	[0.5, 0.75, 1.0]
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 155750, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,12.00,0.7097,0.0000,170.0000
 2014-05-04 155805, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,25.00,0.7149,0.0000,235.0000
 2014-05-04 155821, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,30.00,0.6944,0.0500,262.0000
 2014-05-04 155837, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,18.00,0.7034,0.0000,222.0000
 2014-05-04 155852, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,29.00,0.6866,0.1719,214.0000
 2014-05-04 155908, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,22.00,0.6734,0.0250,260.0000
 2014-05-04 155923, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,24.00,0.7303,0.0000,279.0000
 2014-05-04 155939, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,17.00,0.7029,0.0833,170.0000
 2014-05-04 155955, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,22.00,0.7404,0.0250,283.0000
 2014-05-04 160011, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,10.00,0.7795,0.0000,264.0000
 2014-05-04 160027, 2,                 0.05,                  0.5,                    0,                    5,200.00,1.00,2.00,0.6446,0.0000,51.0000
 2014-05-04 160043, 2,                 0.05,                  0.5,                    0,                    5,200.00,5.00,16.00,0.7215,0.0125,267.0000
 2014-05-04 160059, 2,                 0.05,                  0.5,                    0,                    5,200.00,4.00,23.00,0.7227,0.0000,231.0000
 2014-05-04 160115, 2,                 0.05,                  0.5,                    0,                    5,200.00,6.00,30.00,0.7175,0.0000,322.0000
 2014-05-04 160130, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,14.00,0.7210,0.0833,180.0000
 2014-05-04 160146, 2,                 0.05,                  0.5,                    0,                    5,200.00,2.00,26.00,0.6935,0.0000,115.0000
 2014-05-04 160201, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,20.00,0.6948,0.0000,166.0000
 2014-05-04 160217, 2,                 0.05,                  0.5,                    0,                    5,200.00,3.00,12.00,0.7511,0.0000,192.0000
 2014-05-04 160233, 2,                 0.05,                  0.5,                    0,                    5,200.00,6.00,28.00,0.7110,0.0833,334.0000
averages: ,                 0.05,                  0.5,                    0,                    5,200.00,4.00,19.73,0.7122,0.0325,220.9000
standard deviations: ,                 0.05,                  0.5,                    0,                    5,0.00,1.37,7.21,0.0377,0.0489,71.6972
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,5
                       setIdeologyIssues :	,0
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 160249, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160304, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160320, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160335, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160350, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160405, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160421, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,4.00,0.5542,0.0000,51.0000
 2014-05-04 160436, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160452, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160507, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160523, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160538, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,4.00,0.5480,0.0000,51.0000
 2014-05-04 160553, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,4.00,0.5394,0.0000,51.0000
 2014-05-04 160609, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,4.00,0.5542,0.0000,51.0000
 2014-05-04 160624, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160639, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160655, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160710, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,1.00,0.5450,0.0000,52.0000
 2014-05-04 160725, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,5.00,0.5540,0.0625,51.0000
 2014-05-04 160741, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,1.00,0.5375,0.0000,51.0000
 2014-05-04 160756, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,3.00,0.5541,0.0000,51.0000
 2014-05-04 160812, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160827, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160842, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,1.00,0.6075,0.0000,51.0000
 2014-05-04 160858, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
