Timestamp: 2014-05-02 181139
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 10

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
36,-0.5525,9,-0.5347,-0.6888,0,-0.3797,-0.5683,31,-0.5956,6
8,-0.5581,11,-0.6136,-0.7523,0,-0.3987,-0.5746,18,-0.5215,1
34,-0.5350,22,-0.9830,-0.9830,33,-0.0625,-0.3659,25,-0.4790,1
22,-0.5019,13,-0.5192,-0.9057,1,-0.3356,-0.7076,19,-0.4944,2
6,-0.5262,9,-0.4167,-0.8282,0,-0.6127,-0.6573,16,-0.6088,48
30,-0.5575,13,-0.5865,-0.6632,0,-0.5404,-0.6725,16,-0.6368,46
9,-0.5769,9,-0.4236,-0.6548,0,-0.6240,-0.6414,13,-0.5376,8
13,-0.5269,8,-0.5547,-0.6008,0,-0.5340,-0.6961,28,-0.6537,37
37,-0.5112,9,-0.3056,-0.5852,0,-0.5275,-0.6041,30,-0.6322,41
65,-0.5194,13,-1.0000,-1.0000,0,-0.6250,-0.7081,5,-0.5394,48
16,-0.5281,6,-0.8438,-0.8794,0,-0.2513,-0.5200,18,-0.5009,5
66,-0.5288,7,-0.5893,-0.7608,0,-0.6762,-0.7175,16,-0.6489,40
49,-0.5775,10,-0.6000,-0.7900,0,-0.6963,-0.7270,20,-0.5476,48
16,-0.5281,7,-0.9821,-0.9821,0,-0.6250,-0.6525,3,-0.5674,37
25,-0.5556,10,-0.5625,-0.7670,0,-0.5578,-0.6079,17,-0.5751,26
24,-0.5275,33,-0.5227,-0.7549,0,-0.7147,-0.7175,12,-0.7413,85
50,-0.5625,10,-0.7063,-0.7683,0,-0.4124,-0.5932,25,-0.5869,38
57,-0.5288,6,-0.4688,-0.7877,0,-0.7496,-0.8501,14,-0.5468,49
18,-0.5088,8,-0.4922,-0.6673,0,-0.5313,-0.6157,23,-0.5903,19
64,-0.5300,11,-1.0000,-1.0000,4,-0.0625,-0.5691,20,-0.5207,3
74,-0.5188,9,-0.6806,-0.9117,0,-0.7122,-0.7164,11,-0.5684,49
37,-0.5387,9,-0.6181,-0.7844,0,-0.3913,-0.5190,12,-0.4886,28
2,-0.5350,14,-0.5625,-0.7389,0,-0.6490,-0.7594,9,-0.6868,52
70,-0.5606,7,-0.5714,-0.8994,0,-0.6075,-0.7471,12,-0.6740,50
59,-0.5169,18,-0.6319,-0.8418,0,-0.6194,-0.7204,10,-0.6070,34
72,-0.5294,11,-1.0000,-1.0000,23,-1.0000,-1.0000,1,-0.5294,49
6,-0.5463,11,-0.7784,-0.8347,0,-0.4385,-0.5715,14,-0.5743,47
65,-0.5431,9,-0.7847,-0.7922,0,-0.7124,-0.7802,6,-0.6414,48
19,-0.5481,9,-0.5417,-0.7670,0,-0.2786,-0.4616,20,-0.5616,44
44,-0.5156,9,-0.4861,-0.6862,0,-0.5245,-0.5734,21,-0.5225,45
18,-0.5188,33,-0.5265,-0.7626,0,-0.6996,-0.7784,8,-0.6739,51
74,-0.5188,9,-0.3333,-0.6715,0,-0.5978,-0.6724,6,-0.6725,50
46,-0.5306,7,-0.9643,-0.9643,0,-0.8125,-0.8125,1,-0.5306,49
12,-0.5756,10,-0.8125,-0.8125,0,-0.6625,-0.7811,5,-0.6371,52
65,-0.5431,13,-0.8990,-0.9164,0,-0.8308,-0.8598,3,-0.6362,51
8,-0.5669,8,-0.6406,-0.6746,0,-0.5791,-0.7776,8,-0.5896,48
74,-0.5337,8,-0.7188,-0.7188,0,-0.5875,-0.6790,3,-0.5142,40
17,-0.5425,7,-0.5625,-0.6723,0,-0.6172,-0.6682,19,-0.6776,53
0,-0.5531,6,-0.7500,-0.7592,0,-0.6038,-0.7118,5,-0.5667,17
52,-0.5344,11,-0.5511,-0.8933,1,-0.5976,-0.7106,16,-0.5865,12
27,-0.5744,7,-0.5536,-0.6738,0,-0.6390,-0.6680,12,-0.5661,31
6,-0.5387,15,-0.4875,-0.6508,0,-0.4323,-0.6746,10,-0.5944,17
61,-0.5413,9,-0.5833,-0.6378,0,-0.4999,-0.7142,13,-0.6190,48
63,-0.4956,18,-0.5382,-0.7106,0,-0.5726,-0.5994,15,-0.5828,36
55,-0.5281,10,-1.0000,-1.0000,0,-0.3500,-0.7297,12,-0.5934,49
56,-0.5325,8,-0.9531,-0.9652,30,-0.9460,-0.9460,3,-0.6640,55
61,-0.5513,9,-0.7222,-0.7454,0,-0.7625,-0.7873,4,-0.5421,28
29,-0.5081,6,-0.5312,-0.6432,0,-0.4404,-0.5680,14,-0.5429,6
68,-0.5725,7,-0.5000,-0.6795,0,-0.4922,-0.5543,15,-0.4876,11
55,-0.5281,13,-0.9135,-0.9135,0,-0.1625,-0.5126,6,-0.4839,14
32,-0.5413,14,-0.5402,-0.7736,1,-0.2775,-0.7201,13,-0.5721,12
0,-0.5531,10,-0.5437,-0.6362,0,-0.8105,-0.8117,3,-0.5763,35
63,-0.4794,11,-0.4830,-0.5804,0,-0.4543,-0.5886,15,-0.6126,47
52,-0.5344,8,-0.5781,-0.6524,1,-0.5796,-0.8873,9,-0.5555,11
41,-0.5337,11,-0.5795,-0.7553,1,-0.6454,-0.6700,14,-0.5018,4
61,-0.5162,7,-0.6071,-0.7135,0,-0.5690,-0.6732,4,-0.5252,23
61,-0.5162,24,-0.4740,-0.6778,0,-0.6759,-0.7965,9,-0.6122,40
55,-0.5344,8,-0.9453,-0.9453,0,-0.5250,-0.6276,2,-0.5470,49
35,-0.5413,10,-0.4938,-0.6089,0,-0.5150,-0.6548,13,-0.5815,43
61,-0.5363,16,-0.6484,-0.6484,0,-0.2750,-0.8189,9,-0.5903,46
