Timestamp: 2014-05-02 165153
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
15,-0.5531,19,-0.5132,-0.5660,3,-0.6158,-0.6474,7,-0.5423,38
15,-0.5531,19,-0.5132,-0.6675,3,-0.5271,-0.5865,27,-0.5334,11
15,-0.5619,9,-0.6528,-0.6938,3,-0.4575,-0.5847,24,-0.5278,21
33,-0.5231,7,-0.5714,-0.7022,2,-0.5755,-0.6429,11,-0.5691,41
28,-0.5206,7,-0.7232,-0.7232,19,-0.1020,-0.4021,24,-0.5123,19
14,-0.5437,9,-0.8125,-0.8611,11,-0.8110,-0.8407,5,-0.5396,41
47,-0.5194,9,-0.6944,-0.7089,6,-0.5477,-0.6268,17,-0.5558,26
2,-0.5525,11,-0.5625,-0.6335,9,-0.5584,-0.6196,18,-0.5427,32
15,-0.5619,8,-0.7031,-0.7541,3,-0.3436,-0.5622,17,-0.5307,21
38,-0.5044,9,-0.4375,-0.6072,3,-0.4631,-0.6432,17,-0.5259,19
33,-0.5506,9,-0.6181,-0.7314,2,-0.7486,-0.7704,13,-0.5601,33
29,-0.5312,8,-0.6094,-0.7010,1,-0.3524,-0.7745,11,-0.5433,27
15,-0.5619,6,-0.5833,-0.6801,3,-0.5534,-0.6919,21,-0.5434,25
42,-0.5150,14,-0.4866,-0.6492,6,-0.4269,-0.6191,15,-0.5719,34
40,-0.5244,10,-0.6125,-0.7353,1,-0.3932,-0.6708,16,-0.5444,26
27,-0.5463,9,-0.6319,-0.6848,6,-0.5837,-0.6381,15,-0.5756,41
6,-0.5556,7,-0.3839,-0.6133,3,-0.5923,-0.7024,15,-0.5478,33
43,-0.5325,15,-0.6042,-0.6626,2,-0.5295,-0.6445,22,-0.5577,24
40,-0.5444,7,-0.5714,-0.7966,1,-0.5864,-0.8351,14,-0.5458,21
