Timestamp: 2014-05-02 165202
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
19,-0.5350,8,-0.4297,-0.6112,2,-0.5198,-0.6023,36,-0.5440,27
45,-0.5075,7,-0.3750,-0.5667,4,-0.5239,-0.5634,36,-0.5309,21
33,-0.5144,12,-0.5365,-0.6403,5,-0.4216,-0.5942,30,-0.5125,10
49,-0.5681,9,-0.5764,-0.6505,1,-0.6568,-0.6568,11,-0.5883,45
36,-0.5419,8,-0.5547,-0.6177,4,-0.5139,-0.5893,28,-0.5406,26
43,-0.5300,11,-0.5739,-0.6512,12,-0.5698,-0.6082,15,-0.5997,41
34,-0.5444,6,-0.6771,-0.6788,2,-0.6264,-0.7534,10,-0.5447,32
27,-0.5444,11,-0.5057,-0.6672,3,-0.5377,-0.6163,14,-0.6018,53
48,-0.5156,11,-0.6136,-0.6705,5,-0.5649,-0.6789,13,-0.5433,30
4,-0.5669,11,-0.6705,-0.6705,13,-0.3413,-0.5186,16,-0.5350,18
14,-0.5781,15,-0.5250,-0.6616,5,-0.6635,-0.7177,8,-0.5589,35
34,-0.5181,9,-0.6389,-0.8017,2,-0.4784,-0.6570,11,-0.5618,39
48,-0.5506,6,-0.6250,-0.7461,5,-0.4946,-0.5655,23,-0.5230,11
13,-0.5144,11,-0.6080,-0.7236,2,-0.4934,-0.6690,12,-0.5436,30
21,-0.5238,9,-0.5347,-0.7335,6,-0.4344,-0.6501,13,-0.4615,15
42,-0.5369,10,-0.5938,-0.7408,4,-0.5560,-0.6433,12,-0.5566,36
15,-0.5231,19,-0.5757,-0.6378,0,-0.4620,-0.5845,18,-0.5470,22
1,-0.5244,9,-0.6875,-0.7501,7,-0.6486,-0.6834,13,-0.5561,37
13,-0.5594,9,-0.6806,-0.7563,2,-0.7367,-0.8111,7,-0.5861,42
2,-0.5206,9,-0.7847,-0.8548,22,-0.8639,-0.8639,3,-0.6091,48
17,-0.4944,6,-0.3958,-0.6303,7,-0.5762,-0.6145,20,-0.5557,31
26,-0.5019,7,-0.5536,-0.6578,4,-0.5112,-0.6135,22,-0.5594,22
31,-0.5075,6,-0.7083,-0.8552,5,-0.3721,-0.6011,27,-0.5709,29
3,-0.5444,10,-0.6250,-0.7521,1,-0.2968,-0.5860,22,-0.5469,18
45,-0.5050,13,-0.4712,-0.6526,4,-0.5334,-0.6941,13,-0.6203,55
3,-0.5219,10,-0.5938,-0.6638,1,-0.4192,-0.5825,19,-0.5164,18
42,-0.5356,15,-0.6208,-0.6554,4,-0.5444,-0.6808,10,-0.5482,37
