Timestamp: 2014-05-02 181206
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 10

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
25,-0.5794,15,-0.5417,-0.7940,1,-0.5636,-0.6422,25,-0.6142,32
60,-0.5550,7,-0.4643,-0.6199,0,-0.3543,-0.6205,10,-0.5558,14
48,-0.5306,29,-0.5474,-0.6575,19,-0.6679,-0.7775,24,-0.5748,47
1,-0.5456,8,-0.6719,-0.7251,0,-0.5973,-0.6994,12,-0.6450,49
14,-0.5256,9,-0.6250,-0.8433,0,-0.6246,-0.7105,4,-0.7241,86
18,-0.5506,8,-0.6484,-0.7696,1,-0.5396,-0.6322,24,-0.6246,20
43,-0.5400,7,-0.9018,-0.9018,0,-0.5625,-0.6400,4,-0.5391,28
9,-0.5094,8,-0.5547,-0.6648,0,-0.4518,-0.5464,23,-0.5573,25
32,-0.6019,13,-0.7067,-0.8709,0,-0.4693,-0.6348,11,-0.5479,19
5,-0.4869,8,-0.5000,-0.7835,0,-0.6232,-0.6856,16,-0.6358,47
45,-0.5325,15,-0.9417,-0.9499,24,-0.9484,-0.9484,2,-0.6227,52
15,-0.5369,8,-0.9375,-0.9375,1,-0.8125,-0.8973,4,-0.5950,49
34,-0.5450,6,-0.8438,-0.8814,34,-0.9614,-0.9614,3,-0.6031,49
10,-0.5925,6,-0.5833,-0.8429,0,-0.4724,-0.6969,21,-0.7017,73
28,-0.4975,13,-0.5481,-0.8208,0,-0.4410,-0.6296,8,-0.5956,40
15,-0.5256,6,-1.0000,-1.0000,1,-0.2500,-0.5878,11,-0.4636,0
7,-0.5406,13,-0.6298,-0.8067,0,-0.5811,-0.7805,13,-0.7348,79
25,-0.4931,13,-0.5817,-0.7405,1,-0.2729,-0.5456,18,-0.4612,14
6,-0.5525,13,-0.7067,-0.8708,1,-0.2469,-0.6542,16,-0.5449,10
16,-0.5312,19,-0.6020,-0.7246,0,-0.6027,-0.6742,14,-0.5966,35
3,-0.5737,12,-0.6042,-0.6360,0,-0.4843,-0.5183,18,-0.5279,25
42,-0.5069,10,-0.5875,-0.6071,0,-0.6616,-0.6720,2,-0.5389,36
36,-0.5500,9,-0.4444,-0.7359,0,-0.5230,-0.6179,19,-0.6248,45
15,-0.5369,11,-1.0000,-1.0000,1,-0.8125,-0.8397,2,-0.3907,12
34,-0.5175,10,-0.9062,-0.9449,34,-0.0870,-0.3219,20,-0.5642,47
51,-0.5175,8,-0.6406,-0.7737,0,-0.3113,-0.5215,17,-0.5141,23
55,-0.5581,30,-0.5854,-0.6047,1,-0.6093,-0.7931,8,-0.4741,11
54,-0.5381,7,-0.5179,-0.8366,0,-0.6151,-0.6690,20,-0.5558,48
54,-0.5044,19,-0.4474,-0.6776,0,-0.6788,-0.7039,22,-0.6483,35
58,-0.5194,9,-0.9861,-0.9861,19,-0.8026,-0.8303,2,-0.6505,48
36,-0.5525,13,-0.6250,-0.7373,0,-0.6849,-0.7565,16,-0.6692,49
35,-0.5238,6,-0.5312,-0.7587,0,-0.6748,-0.6866,14,-0.6651,41
54,-0.5394,11,-0.4659,-0.5613,0,-0.5507,-0.6117,19,-0.6030,27
28,-0.5550,12,-0.3854,-0.7941,0,-0.6389,-0.7370,7,-0.6099,50
57,-0.5744,12,-0.6094,-0.7045,1,-0.7720,-0.8823,8,-0.5542,5
60,-0.5025,8,-0.6797,-0.8953,0,-0.4644,-0.5298,7,-0.5788,45
34,-0.5450,9,-1.0000,-1.0000,34,-1.0000,-1.0000,1,-0.5450,52
37,-0.5181,8,-0.5938,-0.7130,0,-0.6237,-0.7526,9,-0.5465,22
58,-0.5431,8,-0.8672,-0.8741,19,-0.2778,-0.4334,22,-0.5675,47
22,-0.5281,8,-0.5938,-0.8877,1,-0.6144,-0.7974,14,-0.6080,47
37,-0.5056,8,-0.5078,-0.9482,0,-0.7049,-0.8295,9,-0.6603,54
20,-0.5700,11,-0.5966,-0.6914,0,-0.3454,-0.6745,12,-0.5931,29
62,-0.5269,8,-1.0000,-1.0000,0,-0.8250,-0.8292,4,-0.5239,46
62,-0.5356,21,-0.9970,-0.9970,0,-0.4375,-0.6971,7,-0.6442,48
20,-0.5425,8,-0.4219,-0.9333,0,-0.4647,-0.8190,6,-0.7677,78
60,-0.4775,8,-0.6094,-0.8697,0,-0.7990,-0.8550,6,-0.5858,47
15,-0.5369,8,-1.0000,-1.0000,1,-0.8125,-0.9434,4,-0.6037,42
9,-0.5231,7,-0.7768,-0.7946,0,-0.6125,-0.7013,7,-0.6219,42
55,-0.5269,15,-0.4875,-0.6840,1,-0.6205,-0.7161,10,-0.5666,29
28,-0.5550,8,-0.6328,-0.6480,0,-0.4920,-0.7584,12,-0.5841,37
62,-0.5356,10,-0.9625,-0.9625,0,-0.6250,-0.7298,9,-0.6823,57
