Experiment GCC Main Experiment - National Priorities - No Parties
Main experiment version 3 - with state priorities but no parties - 30 realizations per configuration .
Experiment started 2014-05-03 175733

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
                 setUnaffiliatedFraction :,  	1.0
Experiment Parameter Variations:
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-03 181227, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181245, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181304, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181322, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181340, 2,                    0,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
averages: ,                    0,                    5,200.00,0.03,0.03,0.0208,0.0000,1.7333
standard deviations: ,                    0,                    5,0.00,0.18,0.18,0.1119,0.0000,9.3343
*********************Job Settings*********************
                      setStatePriorities :	,5
                       setIdeologyIssues :	,0
 timestamp, job ID, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-03 181359, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181417, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181434, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181451, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181508, 3,                    5,                    0,200.00,1.00,1.00,0.6338,0.0000,51.0000
 2014-05-03 181526, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181543, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181601, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181619, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181637, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181654, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181712, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181730, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181747, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181804, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181822, 3,                    5,                    0,200.00,1.00,2.00,0.6466,0.0000,54.0000
 2014-05-03 181839, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181857, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181914, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181932, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 181949, 3,                    5,                    0,200.00,1.00,1.00,0.6175,0.0000,52.0000
 2014-05-03 182006, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182022, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182039, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182055, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182112, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182128, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182145, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182202, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182219, 3,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
averages: ,                    5,                    0,200.00,0.10,0.13,0.0633,0.0000,5.2333
standard deviations: ,                    5,                    0,0.00,0.30,0.43,0.1898,0.0000,15.7050
*********************Job Settings*********************
                      setStatePriorities :	,5
                       setIdeologyIssues :	,5
 timestamp, job ID, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-03 182236, 4,                    5,                    5,200.00,1.00,1.00,0.6131,0.0000,52.0000
 2014-05-03 182253, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182310, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182327, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182344, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182401, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182418, 4,                    5,                    5,200.00,1.00,1.00,0.6269,0.0000,57.0000
 2014-05-03 182435, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182451, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182508, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182525, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182541, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182558, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182615, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182632, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182649, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182705, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182722, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182739, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182756, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
