Experiment GCC Calibration
Calibrating the satisfaction threshold to achieve ~5% pass rate of proposals.
Experiment started 2014-05-02 175925

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                 setUnaffiliatedFraction :,  	0.05
                        setGreenFraction :,  	0.5
                       setIdeologyIssues :,  	10
Experiment Parameter Variations:
                setSatisfactionThreshold :,  	[0.55, 0.575, 0.6, 0.625, 0.65, 0.675]
######################################################
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.55
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 1,                 0.55,13.00,6.00,75.00,0.6530
 1,                 0.55,5.00,5.00,75.00,0.6036
 1,                 0.55,16.00,7.00,75.00,0.6513
averages: ,                 0.55,11.33,6.00,75.00,0.6360
standard deviations: ,                 0.55,4.64,0.82,0.00,0.0229
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.575
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 2,                0.575,17.00,7.00,75.00,0.6909
 2,                0.575,14.00,7.00,75.00,0.6491
 2,                0.575,200.00,7.00,74.00,0.6507
averages: ,                0.575,77.00,7.00,74.67,0.6636
standard deviations: ,                0.575,86.98,0.00,0.47,0.0193
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.6
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 3,                  0.6,200.00,4.00,70.00,0.6126
 3,                  0.6,13.00,8.00,75.00,0.7076
 3,                  0.6,200.00,6.00,72.00,0.6525
averages: ,                  0.6,137.67,6.00,72.33,0.6576
standard deviations: ,                  0.6,88.15,1.63,2.05,0.0389
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.625
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 4,                0.625,20.00,7.00,75.00,0.7009
 4,                0.625,200.00,7.00,66.00,0.7057
 4,                0.625,200.00,8.00,72.00,0.6802
averages: ,                0.625,140.00,7.33,71.00,0.6956
standard deviations: ,                0.625,84.85,0.47,3.74,0.0111
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.65
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 5,                 0.65,200.00,5.00,60.00,0.6968
 5,                 0.65,56.00,7.00,75.00,0.6809
 5,                 0.65,200.00,6.00,68.00,0.7190
averages: ,                 0.65,152.00,6.00,67.67,0.6989
standard deviations: ,                 0.65,67.88,0.82,6.13,0.0156
*********************Job Settings*********************
                setSatisfactionThreshold :	,0.675
 job ID, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 6,                0.675,200.00,6.00,54.00,0.6763
 6,                0.675,200.00,5.00,68.00,0.7342
 6,                0.675,23.00,7.00,75.00,0.7525
averages: ,                0.675,141.00,6.00,65.67,0.7210
standard deviations: ,                0.675,83.44,0.82,8.73,0.0325
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 1,                 0.55,11.33,6.00,75.00,0.6360
 2,                0.575,77.00,7.00,74.67,0.6636
 3,                  0.6,137.67,6.00,72.33,0.6576
 4,                0.625,140.00,7.33,71.00,0.6956
 5,                 0.65,152.00,6.00,67.67,0.6989
 6,                0.675,141.00,6.00,65.67,0.7210
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setSatisfactionThreshold, proposals, laws count, provisions, satisfaction
 1,                 0.55,4.64,0.82,0.00,0.0229
 2,                0.575,86.98,0.00,0.47,0.0193
 3,                  0.6,88.15,1.63,2.05,0.0389
 4,                0.625,84.85,0.47,3.74,0.0111
 5,                 0.65,67.88,0.82,6.13,0.0156
 6,                0.675,83.44,0.82,8.73,0.0325
######################################################
Experiment Completed 2014-05-02 180300
######################################################

