Timestamp: 2014-05-02 181152
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 10

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
74,-0.5356,21,-0.5030,-0.6060,0,-0.6259,-0.7115,26,-0.6412,42
32,-0.5312,12,-0.9531,-0.9531,23,-0.0625,-0.5064,26,-0.4989,0
72,-0.5531,13,-0.6202,-0.7085,0,-0.5804,-0.7934,7,-0.7896,92
2,-0.5288,11,-0.5170,-0.6919,0,-0.5380,-0.6043,7,-0.5832,21
1,-0.5025,10,-0.4500,-0.5951,0,-0.5306,-0.6265,9,-0.5378,16
10,-0.5188,14,-0.5268,-0.5716,0,-0.5133,-0.6356,9,-0.5839,26
70,-0.5387,12,-0.9427,-0.9427,11,-0.0625,-0.4881,21,-0.5047,0
61,-0.5331,9,-0.6736,-0.8590,0,-0.4828,-0.6868,7,-0.6518,47
16,-0.5175,14,-0.6518,-0.7896,0,-0.5015,-0.6025,23,-0.5853,2
26,-0.5650,6,-0.5833,-0.8594,0,-0.8189,-0.8216,9,-0.5570,43
73,-0.5194,8,-0.7031,-0.7754,0,-0.5355,-0.6029,22,-0.6198,20
52,-0.5481,10,-0.9812,-0.9812,30,-0.0917,-0.5196,23,-0.4847,1
11,-0.5219,10,-0.6125,-0.7509,0,-0.7463,-0.7875,17,-0.5634,45
41,-0.4963,9,-0.7083,-0.8264,1,-0.5015,-0.8192,13,-0.5076,18
34,-0.5350,6,-1.0000,-1.0000,39,-0.8317,-0.8400,3,-0.5769,50
50,-0.5606,14,-0.7054,-0.7430,0,-0.6633,-0.6633,11,-0.4888,41
23,-0.4994,7,-0.4554,-0.6156,0,-0.6553,-0.7229,29,-0.5675,45
8,-0.5250,6,-0.9167,-0.9167,0,-0.4125,-0.7126,4,-0.6554,53
27,-0.5231,12,-0.4167,-0.6623,0,-0.4921,-0.7063,19,-0.6181,40
59,-0.5106,10,-1.0000,-1.0000,2,-0.2500,-0.4955,18,-0.4275,1
21,-0.5325,8,-0.9844,-0.9844,6,-1.0000,-1.0000,1,-0.5325,50
37,-0.5288,6,-0.9896,-0.9896,0,-0.2500,-0.6718,16,-0.5589,11
5,-0.5112,18,-0.5590,-0.6663,0,-0.4986,-0.7050,7,-0.6023,40
21,-0.5300,8,-0.9766,-0.9766,6,-0.0625,-0.4453,22,-0.4308,0
9,-0.5169,18,-0.5590,-0.7299,0,-0.7653,-0.7710,5,-0.7215,69
33,-0.5300,8,-0.7500,-0.8009,0,-0.7105,-0.7105,3,-0.5409,32
61,-0.5294,17,-0.4743,-0.6579,0,-0.6730,-0.6867,22,-0.6653,43
49,-0.5344,6,-0.6354,-0.7250,0,-0.4100,-0.6297,18,-0.6236,22
12,-0.5500,9,-0.6736,-0.8160,0,-0.3085,-0.6644,7,-0.5753,40
10,-0.5487,8,-0.4922,-0.6954,0,-0.4529,-0.6124,23,-0.6544,37
